transform,method,THType,bestTH,Time,PSNR,SSIM
ACLSDB,VisuShrink,Hard,Individual,0.147504072,12.128690530529461,0.3646463137117496
ACLSDB,VisuShrink,Hard,Average,0.1458371,12.589670641064865,0.40626712149365873
ACLSDB,VisuShrink,Hard,Median,0.14466328400000003,12.796830775468337,0.4051693903717062
ACLSDB,RelErrorShrink,Hard,Individual,0.14386932600000002,13.184677950872606,0.34615748862492823
ACLSDB,RelErrorShrink,Hard,Average,0.14719873199999997,13.205728609115894,0.3449316677800466
ACLSDB,RelErrorShrink,Hard,Median,0.143040572,13.188038477517077,0.3429512772987857
SDWT,VisuShrink,Hard,Individual,0.016810322000000003,16.223460204615133,0.7602250312035853
SDWT,VisuShrink,Hard,Average,0.017409377999999996,16.27167058287212,0.7629129968724869
SDWT,VisuShrink,Hard,Median,0.017802935999999995,16.269451766726473,0.7628611118703533
SDWT,RelErrorShrink,Hard,Individual,0.018367136000000003,13.621336790005737,0.6985665183934201
SDWT,RelErrorShrink,Hard,Average,0.018325188,12.957092260151173,0.6564709762981432
SDWT,RelErrorShrink,Hard,Median,0.017367967999999998,13.241166803032716,0.6690555535780652
SWPT-L4,VisuShrink,Hard,Individual,0.139077772,16.8660967841957,0.7175536357372152
SWPT-L4,VisuShrink,Hard,Average,0.13466244400000002,16.95799206667795,0.7254189349195673
SWPT-L4,VisuShrink,Hard,Median,0.14486314399999997,16.985977722499072,0.7259970924490209
SWPT-L4,RelErrorShrink,Hard,Individual,0.14680403400000003,14.928998666190058,0.45871118769889496
SWPT-L4,RelErrorShrink,Hard,Average,0.14915289599999995,14.845434961584631,0.45186048782432947
SWPT-L4,RelErrorShrink,Hard,Median,0.14210517800000003,14.858199355167994,0.4527536508528651
SWPT-L8,VisuShrink,Hard,Individual,1.0172561020000002,12.631603711643576,0.5103889504003588
SWPT-L8,VisuShrink,Hard,Average,1.0140783260000001,12.731767487354974,0.5753385047124965
SWPT-L8,VisuShrink,Hard,Median,1.007489744,13.14896592042793,0.562266857710138
SWPT-L8,RelErrorShrink,Hard,Individual,1.0058810659999997,13.933250280427014,0.38471436935765324
SWPT-L8,RelErrorShrink,Hard,Average,0.99482661,13.946993644151625,0.3808302343431098
SWPT-L8,RelErrorShrink,Hard,Median,0.9938312400000002,13.93605058090741,0.37941211399129704
SWPT-BT,VisuShrink,Hard,Individual,0.274355798,16.868318586822173,0.6945887042091233
SWPT-BT,VisuShrink,Hard,Average,0.28683554800000005,17.301992244425186,0.7390676468224641
SWPT-BT,VisuShrink,Hard,Median,0.2836669599999999,17.369012786430165,0.730909090810815
SWPT-BT,RelErrorShrink,Hard,Individual,0.291112788,15.025819738577834,0.46062002523450685
SWPT-BT,RelErrorShrink,Hard,Average,0.278675558,15.008637152176425,0.45660193993436643
SWPT-BT,RelErrorShrink,Hard,Median,0.28848271999999997,14.967693985097883,0.45385130654383404
SJBB,VisuShrink,Hard,Individual,0.293107048,16.621519013506948,0.7425122174727234
SJBB,VisuShrink,Hard,Average,0.2864062700000001,16.8520489125823,0.7731275048709993
SJBB,VisuShrink,Hard,Median,0.291695548,16.961505440944276,0.7728454058327047
SJBB,RelErrorShrink,Hard,Individual,0.2879827040000001,16.608079587395267,0.6211272961685306
SJBB,RelErrorShrink,Hard,Average,0.283834912,16.84259676038139,0.6387491914076102
SJBB,RelErrorShrink,Hard,Median,0.288228548,16.75881769927896,0.6178916324607034
SLSDB,VisuShrink,Hard,Individual,0.21541629200000004,17.236558857133435,0.7650838982570377
SLSDB,VisuShrink,Hard,Average,0.20268003799999998,17.427071582279225,0.7815400035399087
SLSDB,VisuShrink,Hard,Median,0.21449162599999996,17.498895504243848,0.7816628991627066
SLSDB,RelErrorShrink,Hard,Individual,0.21350648999999997,13.979318150172428,0.5805892916870677
SLSDB,RelErrorShrink,Hard,Average,0.20463099800000006,15.07113822943392,0.6735849403125167
SLSDB,RelErrorShrink,Hard,Median,0.21060423199999995,14.667298730381278,0.634896924662439
