transform,method,THType,bestTH,Time,PSNR,SSIM
ACLSDB,VisuShrink,Hard,Average,0.012702940000000001,7.060336098468928,0.3123584659458528
ACLSDB,VisuShrink,Hard,Median,0.02022486,7.117533260439646,0.3149085125077171
ACLSDB,RelErrorShrink,Hard,Individual,0.01173588,10.148989254985318,0.37910251699486
ACLSDB,RelErrorShrink,Hard,Average,0.01565532,10.365776288666606,0.38774411465692504
ACLSDB,RelErrorShrink,Hard,Median,0.01146194,10.384760378050458,0.3865594635327757
SDWT,VisuShrink,Hard,Individual,0.01828728,6.332483338096367,0.3215595609470996
SDWT,VisuShrink,Hard,Average,0.014674780000000002,6.278591550862105,0.31558490800054634
SDWT,VisuShrink,Hard,Median,0.010152520000000002,6.3244472314385405,0.3205090075326602
SDWT,RelErrorShrink,Hard,Individual,0.015914320000000003,9.495782888586369,0.46908817830748484
SDWT,RelErrorShrink,Hard,Average,0.01276892,9.52826974296538,0.48145213218705385
SDWT,RelErrorShrink,Hard,Median,0.00939598,9.329390948426301,0.4741534115646252
SWPT-L4,VisuShrink,Hard,Individual,0.02107174,12.250592889310088,0.6653874662039096
SWPT-L4,VisuShrink,Hard,Average,0.01796472,12.239269957835432,0.6711358757239813
SWPT-L4,VisuShrink,Hard,Median,0.022497919999999998,12.287741275328148,0.6717979360911981
SWPT-L4,RelErrorShrink,Hard,Individual,0.01777586,13.950794009081187,0.5581900069555895
SWPT-L4,RelErrorShrink,Hard,Average,0.02169862,14.005913374245443,0.5523044618696205
SWPT-L4,RelErrorShrink,Hard,Median,0.01580434,13.946477507535997,0.5475378592564931
SWPT-L8,VisuShrink,Hard,Individual,1.94971776,3.7829604321404195,0.024680682612055183
SWPT-L8,VisuShrink,Hard,Average,1.9254635199999999,3.569848090835862,0.0011313975420221896
SWPT-L8,VisuShrink,Hard,Median,1.9758704000000002,3.593346487865914,0.00411451944029272
SWPT-L8,RelErrorShrink,Hard,Individual,1.8501787999999997,9.387751133179748,0.2953701824330969
SWPT-L8,RelErrorShrink,Hard,Average,1.81485156,9.45732443346432,0.29679025344992677
SWPT-L8,RelErrorShrink,Hard,Median,1.8100738,9.444372371982485,0.2968839038589949
SWPT-BT,VisuShrink,Hard,Individual,0.020960380000000004,12.844777059001984,0.6933359252028481
SWPT-BT,VisuShrink,Hard,Average,0.02006386,12.869006603318805,0.6951990576612335
SWPT-BT,VisuShrink,Hard,Median,0.02098408,12.90343955167479,0.6957566970235202
SWPT-BT,RelErrorShrink,Hard,Individual,0.0181463,13.957542509453683,0.5602830394750475
SWPT-BT,RelErrorShrink,Hard,Average,0.02246826,13.966687379793186,0.5575279507754429
SWPT-BT,RelErrorShrink,Hard,Median,0.018182959999999998,13.898539606311967,0.5503487425273892
SJBB,VisuShrink,Hard,Individual,0.017925280000000002,12.777502063377634,0.6582826372181594
SJBB,VisuShrink,Hard,Average,0.015772539999999998,12.801314325282041,0.6611558830703747
SJBB,VisuShrink,Hard,Median,0.01578032,12.799319482322684,0.6606648671150861
SJBB,RelErrorShrink,Hard,Individual,0.01910154,13.85244259536807,0.5315168178600007
SJBB,RelErrorShrink,Hard,Average,0.0186334,13.84107258410628,0.5260334789803803
SJBB,RelErrorShrink,Hard,Median,0.0135741,13.740382256787864,0.5217725063439447
SLSDB,VisuShrink,Hard,Individual,0.021360659999999997,12.69067881365849,0.6574741780677111
SLSDB,VisuShrink,Hard,Average,0.015607739999999998,12.732988365064035,0.6616012324677454
SLSDB,VisuShrink,Hard,Median,0.01870012,12.741094259272334,0.661685231432829
SLSDB,RelErrorShrink,Hard,Individual,0.014810099999999998,14.041959601367697,0.553084472953539
SLSDB,RelErrorShrink,Hard,Average,0.0282121,14.043885393674367,0.5487687615491066
SLSDB,RelErrorShrink,Hard,Median,0.013429859999999998,13.984294855334648,0.5466681323423621
