transform,method,THType,bestTH,Time,PSNR,SSIM
ACLSDB,VisuShrink,Hard,Individual,0.15222136,9.488373869317183,0.12442354945334105
ACLSDB,VisuShrink,Hard,Average,0.14340782599999996,9.056882794483164,0.06101924435449752
ACLSDB,VisuShrink,Hard,Median,0.14683037800000004,9.072213859715067,0.0630701955797428
ACLSDB,RelErrorShrink,Hard,Individual,0.145922404,12.570680038534427,0.46366445029145553
ACLSDB,RelErrorShrink,Hard,Average,0.146858612,12.602009831567145,0.46685012691347
ACLSDB,RelErrorShrink,Hard,Median,0.14398807999999994,12.625609565346316,0.4688212723094619
SDWT,VisuShrink,Hard,Individual,0.016552971999999996,8.352478297247252,0.022638153800140823
SDWT,VisuShrink,Hard,Average,0.017232103999999998,8.349188994492344,0.022331681618669406
SDWT,VisuShrink,Hard,Median,0.017867370000000004,8.348542446857227,0.022295990681265677
SDWT,RelErrorShrink,Hard,Individual,0.018128884000000005,11.585664739010605,0.30328682347634234
SDWT,RelErrorShrink,Hard,Average,0.017252372000000002,11.537979018793102,0.2899826850506228
SDWT,RelErrorShrink,Hard,Median,0.017653002,11.582497971185402,0.2955673942297681
SWPT-L4,VisuShrink,Hard,Individual,0.13628511999999998,8.052743915361326,0.006133083185692461
SWPT-L4,VisuShrink,Hard,Average,0.140568854,8.042723256592819,0.005379402525751189
SWPT-L4,VisuShrink,Hard,Median,0.14658787399999998,8.045458681739454,0.005434523744277124
SWPT-L4,RelErrorShrink,Hard,Individual,0.146865528,16.00710808645316,0.6745231979288164
SWPT-L4,RelErrorShrink,Hard,Average,0.18560300000000002,16.172521031363836,0.6832172032136208
SWPT-L4,RelErrorShrink,Hard,Median,0.14299845200000008,16.20590606267283,0.6852383886257951
SWPT-L8,VisuShrink,Hard,Individual,0.9797384579999999,9.663816156258257,0.10293924831314104
SWPT-L8,VisuShrink,Hard,Average,0.9671568959999997,9.125611296295308,0.02291947041472241
SWPT-L8,VisuShrink,Hard,Median,0.988204788,9.24145608480821,0.03650240239652083
SWPT-L8,RelErrorShrink,Hard,Individual,0.9837347939999997,13.47311422942567,0.5010156658889712
SWPT-L8,RelErrorShrink,Hard,Average,0.966423326,13.565799041921418,0.5111178979457445
SWPT-L8,RelErrorShrink,Hard,Median,0.976113372,13.588679745993568,0.5129548177955123
SWPT-BT,VisuShrink,Hard,Individual,0.28406064400000003,12.236563797445713,0.41466679571284865
SWPT-BT,VisuShrink,Hard,Average,0.2888832,11.94918326898412,0.4023373297106954
SWPT-BT,VisuShrink,Hard,Median,0.2834004479999999,12.082198288170334,0.41554775393341
SWPT-BT,RelErrorShrink,Hard,Individual,0.290209464,16.377067140561234,0.6976499003268521
SWPT-BT,RelErrorShrink,Hard,Average,0.292753434,16.540707195915775,0.7045002593253342
SWPT-BT,RelErrorShrink,Hard,Median,0.28212583599999996,16.56595825502841,0.7055315273185836
SJBB,VisuShrink,Hard,Individual,0.523409696,10.82656736584696,0.25562453477562275
SJBB,VisuShrink,Hard,Average,0.519440244,10.409573477540984,0.21695944264569902
SJBB,VisuShrink,Hard,Median,0.52889302,10.579869943000004,0.23683155391751193
SJBB,RelErrorShrink,Hard,Individual,0.521466992,14.971404580131733,0.6021550885925675
SJBB,RelErrorShrink,Hard,Average,0.5319980819999999,15.084209417501164,0.6142931840933915
SJBB,RelErrorShrink,Hard,Median,0.530433062,15.10779441111001,0.615712426590413
SLSDB,VisuShrink,Hard,Individual,0.43667662999999995,11.206771585927305,0.2997109497282565
SLSDB,VisuShrink,Hard,Average,0.43568140199999983,10.794630342105537,0.2709119356888436
SLSDB,VisuShrink,Hard,Median,0.443543218,10.962171312585408,0.2898876310895216
SLSDB,RelErrorShrink,Hard,Individual,0.446419392,15.330562914815912,0.6301544079602975
SLSDB,RelErrorShrink,Hard,Average,0.44334379800000007,15.446983039199518,0.6375852933462559
SLSDB,RelErrorShrink,Hard,Median,0.4470414799999999,15.462146839298928,0.6383281261115329
